affect,effect,ail,ale
air,are,e'er,ere,err,heir
ate,eight,auger,augur
aught,ought
aural,oral
auricle,oracle,away,aweigh
awed,odd
aweful,awful,offal
aye,eye,I
cay,key,quay
cedar,seeder
cede,seed
ceding,seeding
ceiling,sealing
cell,sell
cellar,seller
censer,censor,sensor
census,senses
cent,scent,sent
cents,scents,sense
cere,sear,seer,sere
cereal,serial
Ceres,series
chute,shoot
cite,sight,site
cited,sighted,sited
coin,quoin
craft,kraft
cue,Kew,queue,currant,current,curser,cursor
cygnet,signet
cymbal,symbol
e'er,,earl,URL
earn,urn
elicit,illicit
elude,illude,epic,epoch
eunuchs,Unix
ewe,yew,you
ewes,use,yews
eyelet,islet
farrow,pharoah,faux,foe,fay,Faye,fey,fays,faze
faze,phase
fazed,phased,feat,feet,ferrate,ferret,feted,fetid
few,phew
file,phial,fills,fils
gene,jean,gild,gilled,guild,gilt,guilt
gin,jinn
gnawed,nod
gneiss,nice
gnu,knew,new
gym,Jim
hoar,whore
hoard,horde,whored,hoarse,horse,hoes,hose,hold,holed
hole,whole
holey,holy,wholly,hostel,hostile
hour,our
hours,ours,humerus,humorous
I'll,,idle,idol,idyl
it's,its
jam,jamb
jewel,joule
juggler,jugular
knap,nap
knead,need
knickers,nickers
knight,night
knit,nit
knits,nits
knob,nob
knock,nock
knot,naught,not
know,no
knows,noes,nose
naval,navel,nay,neigh,nays,neighs,neap,neep
none,nun
oar,or,ore
oh,owe,ohs,owes
one,won,oohs,ooze
ordinance,ordnance
overdo,overdue
psi,sigh,xi
quarts,quartz
quince,quints
rabbet,rabbit
rap,wrap
reck,wreck
reek,wreak,resinate,resonate,resisters,resistors
rest,wrest
right,rite,wright,write
rot,wrought
rye,wry
scull,skull,sea,see,seal,seel
seam,seem,seamen,semen,seams,seems,sear,seer
seas,sees,seize,sects,sex
seek,Sikh
serf,surf,serge,surge
sic,sick,sics,six,side,sighed
sighs,size
sign,sine
sink,synch,Sioux,sou,sough,sue
why,wye
won't,wont,wood,would,worst,wurst
y'all,yawl,yack,yak
yoke,yolk,yokes,yolks,yore,you're,your
you'll,yule
flay,fleyhay,hey
jay
kay
lay,lei
nay,neigh,née
pray,prey
ray
sleigh,slay
tray,trey
way,weigh
patience,patients
toupee,to-pay
ade,aid,aide
braid,brayed
grade,grayed,greyed
lade,laid
maid,made
raid,rayed
spade,spayed
trade,trayed
wade,weighed
brake,break
stake,steak
ale,ail
bale,bail
gale,Gail,Gayle
hale,hail
male,mail
pale,pail
sale,sail
tale,tail
vale,vail,veil
wale,wail,whale
wails,Wales
brain,brane
fain,fane,feign
lain,lane
main,mane,mein,Maine
pain,pane
plain,plane
rain,reign,rein
vain,vane,vein
faint,feint
bass,base
place,plaice
waste,waist
acclimation,acclamation
bait,bate
gait,gate
great,grate
plate,plait
strait,straight
wait,weight
naval,navel
wave,waive
waver,waiver
days,daze
faze,phase
frays,phrase
gaze,gay
graze,grays,greys
haze,hay,hays,hayes,heighs,heys
lais,lase,lays,laze,leas,leys,leis
maize,maze,Mays,May
praise,prays,preys
raise,raze,rays,Ray
sleighs,slays
aerial,areal,Ariel
heir,air,ere,err,ayre,are,Ayr,eyre
heirs,airs,errs
bare,bear
fair,fare
flair,flare
hair,hare
pair,pear,pare
stair,stare
tear,tare
there,their
theirs
wear,ware,weir
be,bee
dee
ee
flee,flea
gee
cay,key,quay,quai
me
see,sea,cee
pea,pee
tee,tea
the,thee
vee
we,wee
beach,beech
breach,breech
leach,leech
accede,exceed
cede,seed
heed
meed,mead
knead,kneed,need
read,reed,rede
weed
creak,creek
leak,leek
peak,peek,pique
sheik,sheikh,chic
weak,week
wreak,reek
heal,heel
peal,peel
real,reel
seal,seel,ceil
sealing,ceiling
steal,steel
weal
wheal,wheel
weald,wield
cream,creme
deem,deme
seam,seem
semen,seamen
teem,team
dean,dene
jean,gene,Jean,Gene
jeans,genes
lien,lean
mean,mien
scene,seen
cheap,cheep
grease,Greece
piece,peace
beat,beet
discrete,discreet
feat,feet
meat,meet,mete
peat,Pete
sweet,suite
bees
ease
frees,freeze,frieze
pleas,please
sees,seas,seize,cees,ces,cs,psis,sis,szis
teas,tees,tease
weave
eave,eve
eaves,eves
eerie,eery,Erie,aerie,aery,eyry,eyrie
dear,deer
hear,here
peer,pier
sear,seer,sere
shear,sheer
tear,tier
cereal,serial
buy,by,bye
hi,high,hie
die,dye
ay,aye,eye,I
lie,lye
pie
rye,wry
sigh,psi
tie,Thai,tai,taille,tye,Tyigh
wye
eyed
idyll,idle,idol
pride,pried
side,sighed
tide,tied
isle,aisle
viol,vial,vile
wild,wiled
rime,rhyme
time,thyme
minor,miner
sign,sine
find,fined
mind,mined
wind,wined,wynd
dire,dyer
drier,dryer
flier,flyer
hire,higher
liar,lier,lyre
sire,sigher
tire,tier,tyre,Tyre
prize,prise
ryes,rise
sighs,size
whys,wise
bite,bight,byte
knight,night
might,mite
rite,right,write,wright
cite,sight,site
recite,resight,resite
slight,sleight
oh,owe,eau,eaux,haut
bow,beau
doe,dough,do
flow,floe
ho,hoe
lo,low
know,no
roe,row
sew,so,sow,sol
slow,sloe
throw,throe
toe,tow
broach,brooch
bode,bowed
load,lode,lowed
mode,mowed
ode,owed
road,rode,rowed
toad,toed,towed
yolk,yoke
boll,bole,bowl
cole,coal,kohl
hole,whole
holy,holey,wholly
pole,poll
role,roll
sol,sole,soul,Seoul
tole,toll
bold,bowled
hold,holed
sold,souled,soled
told,tolled
comb,combe
roam,Rome
groan,grown
loan,lone
moan,mown
shone,shown
sone,sewn,sown
throne,thrown
mote,moat
rote,wrote
hose,hoes
knows,nose,noes,nos
rows,rose,roes
chord,cord
ward,warred
warn,worn
boar,bore,Boer
fore,four,for
oar,ore
poor,pore,pour
soar,sore
your,you're,yore
board,bored
gourd,gored
hoard,horde,whored
coarse,course
hoarse,horse
soars,sores
pores,pours
roil,royal
boy,buoy
cast,caste
bow,bough
chow,ciao
plow,plough
sow,sough
aloud,allowed
foul,fowl
council,counsel
councillor,counselor
hour,our
flour,flower
